"statefips","countyfips","countyns10","geoid10","name","namelsad10","boundingbox","corner_sw","corner_nw","corner_ne","corner_se","corner_wtf","extentn","extents","extente","extentw"
"01","075","00161563","01075","Lamar","Lamar County","POLYGON((-88.274619 33.523987,-88.274619 34.058333,-87.946305 34.058333,-87.946305 33.523987,-88.274619 33.523987))","33.523987,-88.274619","34.058333,-88.274619","34.058333,-87.946305","33.523987,-87.946305","33.523987,-88.274619","34.058333","33.523987","-87.946305","-88.274619"
"01","077","00161564","01077","Lauderdale","Lauderdale County","POLYGON((-88.202959 34.731901,-88.202959 35.008028,-87.210759 35.008028,-87.210759 34.731901,-88.202959 34.731901))","34.731901,-88.202959","35.008028,-88.202959","35.008028,-87.210759","34.731901,-87.210759","34.731901,-88.202959","35.008028","34.731901","-87.210759","-88.202959"
"01","079","00161565","01079","Lawrence","Lawrence County","POLYGON((-87.531024 34.299096,-87.531024 34.804992,-87.105073 34.804992,-87.105073 34.299096,-87.531024 34.299096))","34.299096,-87.531024","34.804992,-87.531024","34.804992,-87.105073","34.299096,-87.105073","34.299096,-87.531024","34.804992","34.299096","-87.105073","-87.531024"
"01","081","00161566","01081","Lee","Lee County","POLYGON((-85.696955 32.40984,-85.696955 32.74653,-85.00102 32.74653,-85.00102 32.40984,-85.696955 32.40984))","32.40984,-85.696955","32.74653,-85.696955","32.74653,-85.00102","32.40984,-85.00102","32.40984,-85.696955","32.74653","32.40984","-85.00102","-85.696955"
"01","083","00161567","01083","Limestone","Limestone County","POLYGON((-87.278636 34.55079,-87.278636 34.999024,-86.783582 34.999024,-86.783582 34.55079,-87.278636 34.55079))","34.55079,-87.278636","34.999024,-87.278636","34.999024,-86.783582","34.55079,-86.783582","34.55079,-87.278636","34.999024","34.55079","-86.783582","-87.278636"
"01","085","00161568","01085","Lowndes","Lowndes County","POLYGON((-86.908597 31.961601,-86.908597 32.406682,-86.396357 32.406682,-86.396357 31.961601,-86.908597 31.961601))","31.961601,-86.908597","32.406682,-86.908597","32.406682,-86.396357","31.961601,-86.396357","31.961601,-86.908597","32.406682","31.961601","-86.396357","-86.908597"
"01","087","00161569","01087","Macon","Macon County","POLYGON((-86.023164 32.231975,-86.023164 32.595933,-85.433543 32.595933,-85.433543 32.231975,-86.023164 32.231975))","32.231975,-86.023164","32.595933,-86.023164","32.595933,-85.433543","32.231975,-85.433543","32.231975,-86.023164","32.595933","32.231975","-85.433543","-86.023164"
"01","089","00161570","01089","Madison","Madison County","POLYGON((-86.790056 34.475633,-86.790056 34.992339,-86.255771 34.992339,-86.255771 34.475633,-86.790056 34.475633))","34.475633,-86.790056","34.992339,-86.790056","34.992339,-86.255771","34.475633,-86.255771","34.475633,-86.790056","34.992339","34.475633","-86.255771","-86.790056"
"01","091","00161572","01091","Marengo","Marengo County","POLYGON((-88.118344 31.989832,-88.118344 32.547268,-87.472206 32.547268,-87.472206 31.989832,-88.118344 31.989832))","31.989832,-88.118344","32.547268,-88.118344","32.547268,-87.472206","31.989832,-87.472206","31.989832,-88.118344","32.547268","31.989832","-87.472206","-88.118344"
"01","093","00161573","01093","Marion","Marion County","POLYGON((-88.207229 33.914723,-88.207229 34.321054,-87.634324 34.321054,-87.634324 33.914723,-88.207229 33.914723))","33.914723,-88.207229","34.321054,-88.207229","34.321054,-87.634324","33.914723,-87.634324","33.914723,-88.207229","34.321054","33.914723","-87.634324","-88.207229"
"01","095","00161574","01095","Marshall","Marshall County","POLYGON((-86.581936 34.099073,-86.581936 34.600143,-86.057712 34.600143,-86.057712 34.099073,-86.581936 34.099073))","34.099073,-86.581936","34.600143,-86.581936","34.600143,-86.057712","34.099073,-86.057712","34.099073,-86.581936","34.600143","34.099073","-86.057712","-86.581936"
"01","097","00161575","01097","Mobile","Mobile County","POLYGON((-88.432007 30.144425,-88.432007 31.173306,-87.923944 31.173306,-87.923944 30.144425,-88.432007 30.144425))","30.144425,-88.432007","31.173306,-88.432007","31.173306,-87.923944","30.144425,-87.923944","30.144425,-88.432007","31.173306","30.144425","-87.923944","-88.432007"
"01","099","00161576","01099","Monroe","Monroe County","POLYGON((-87.784796 31.227268,-87.784796 31.831795,-86.905899 31.831795,-86.905899 31.227268,-87.784796 31.227268))","31.227268,-87.784796","31.831795,-87.784796","31.831795,-86.905899","31.227268,-86.905899","31.227268,-87.784796","31.831795","31.227268","-86.905899","-87.784796"
"01","101","00161577","01101","Montgomery","Montgomery County","POLYGON((-86.498531 31.965065,-86.498531 32.50169,-85.918577 32.50169,-85.918577 31.965065,-86.498531 31.965065))","31.965065,-86.498531","32.50169,-86.498531","32.50169,-85.918577","31.965065,-85.918577","31.965065,-86.498531","32.50169","31.965065","-85.918577","-86.498531"
"01","103","00161578","01103","Morgan","Morgan County","POLYGON((-87.110199 34.304694,-87.110199 34.686037,-86.54975 34.686037,-86.54975 34.304694,-87.110199 34.304694))","34.304694,-87.110199","34.686037,-87.110199","34.686037,-86.54975","34.304694,-86.54975","34.304694,-87.110199","34.686037","34.304694","-86.54975","-87.110199"
"01","105","00161579","01105","Perry","Perry County","POLYGON((-87.525682 32.307279,-87.525682 32.875129,-87.017653 32.875129,-87.017653 32.307279,-87.525682 32.307279))","32.307279,-87.525682","32.875129,-87.525682","32.875129,-87.017653","32.307279,-87.017653","32.307279,-87.525682","32.875129","32.307279","-87.017653","-87.525682"
"01","107","00161580","01107","Pickens","Pickens County","POLYGON((-88.340432 32.991199,-88.340432 33.534008,-87.836596 33.534008,-87.836596 32.991199,-88.340432 32.991199))","32.991199,-88.340432","33.534008,-88.340432","33.534008,-87.836596","32.991199,-87.836596","32.991199,-88.340432","33.534008","32.991199","-87.836596","-88.340432"
"01","109","00161581","01109","Pike","Pike County","POLYGON((-86.199408 31.616414,-86.199408 32.06189,-85.657668 32.06189,-85.657668 31.616414,-86.199408 31.616414))","31.616414,-86.199408","32.06189,-86.199408","32.06189,-85.657668","31.616414,-85.657668","31.616414,-86.199408","32.06189","31.616414","-85.657668","-86.199408"
"01","111","00161582","01111","Randolph","Randolph County","POLYGON((-85.653949 33.106634,-85.653949 33.501378,-85.232378 33.501378,-85.232378 33.106634,-85.653949 33.106634))","33.106634,-85.653949","33.501378,-85.653949","33.501378,-85.232378","33.106634,-85.232378","33.106634,-85.653949","33.501378","33.106634","-85.232378","-85.653949"
"01","113","00161583","01113","Russell","Russell County","POLYGON((-85.434747 32.061708,-85.434747 32.510157,-84.888246 32.510157,-84.888246 32.061708,-85.434747 32.061708))","32.061708,-85.434747","32.510157,-85.434747","32.510157,-84.888246","32.061708,-84.888246","32.061708,-85.434747","32.510157","32.061708","-84.888246","-85.434747"
"01","115","00164997","01115","St. Clair","St. Clair County","POLYGON((-86.577799 33.390983,-86.577799 33.989402,-86.043865 33.989402,-86.043865 33.390983,-86.577799 33.390983))","33.390983,-86.577799","33.989402,-86.577799","33.989402,-86.043865","33.390983,-86.043865","33.390983,-86.577799","33.989402","33.390983","-86.043865","-86.577799"
"01","117","00161584","01117","Shelby","Shelby County","POLYGON((-87.026846 33.018664,-87.026846 33.546156,-86.340937 33.546156,-86.340937 33.018664,-87.026846 33.018664))","33.018664,-87.026846","33.546156,-87.026846","33.546156,-86.340937","33.018664,-86.340937","33.018664,-87.026846","33.546156","33.018664","-86.340937","-87.026846"
"01","119","00161585","01119","Sumter","Sumter County","POLYGON((-88.421453 32.307437,-88.421453 32.99586,-87.840858 32.99586,-87.840858 32.307437,-88.421453 32.307437))","32.307437,-88.421453","32.99586,-88.421453","32.99586,-87.840858","32.307437,-87.840858","32.307437,-88.421453","32.99586","32.307437","-87.840858","-88.421453"
"01","121","00161586","01121","Talladega","Talladega County","POLYGON((-86.50359 33.102944,-86.50359 33.699495,-85.794559 33.699495,-85.794559 33.102944,-86.50359 33.102944))","33.102944,-86.50359","33.699495,-86.50359","33.699495,-85.794559","33.102944,-85.794559","33.102944,-86.50359","33.699495","33.102944","-85.794559","-86.50359"
"01","123","00161587","01123","Tallapoosa","Tallapoosa County","POLYGON((-86.013897 32.49297,-86.013897 33.10734,-85.592989 33.10734,-85.592989 32.49297,-86.013897 32.49297))","32.49297,-86.013897","33.10734,-86.013897","33.10734,-85.592989","32.49297,-85.592989","32.49297,-86.013897","33.10734","32.49297","-85.592989","-86.013897"
"01","125","00161588","01125","Tuscaloosa","Tuscaloosa County","POLYGON((-87.840711 33.003379,-87.840711 33.609833,-87.065738 33.609833,-87.065738 33.003379,-87.840711 33.003379))","33.003379,-87.840711","33.609833,-87.840711","33.609833,-87.065738","33.003379,-87.065738","33.003379,-87.840711","33.609833","33.003379","-87.065738","-87.840711"
"01","127","00161589","01127","Walker","Walker County","POLYGON((-87.636119 33.512929,-87.636119 34.005305,-86.953616 34.005305,-86.953616 33.512929,-87.636119 33.512929))","33.512929,-87.636119","34.005305,-87.636119","34.005305,-86.953616","33.512929,-86.953616","33.512929,-87.636119","34.005305","33.512929","-86.953616","-87.636119"
"01","129","00161590","01129","Washington","Washington County","POLYGON((-88.46443 31.114064,-88.46443 31.699303,-87.887267 31.699303,-87.887267 31.114064,-88.46443 31.114064))","31.114064,-88.46443","31.699303,-88.46443","31.699303,-87.887267","31.114064,-87.887267","31.114064,-88.46443","31.699303","31.114064","-87.887267","-88.46443"
"01","131","00161591","01131","Wilcox","Wilcox County","POLYGON((-87.667945 31.827123,-87.667945 32.269036,-86.856576 32.269036,-86.856576 31.827123,-87.667945 31.827123))","31.827123,-87.667945","32.269036,-87.667945","32.269036,-86.856576","31.827123,-86.856576","31.827123,-87.667945","32.269036","31.827123","-86.856576","-87.667945"
"01","133","00161592","01133","Winston","Winston County","POLYGON((-87.636573 33.984882,-87.636573 34.306997,-87.109911 34.306997,-87.109911 33.984882,-87.636573 33.984882))","33.984882,-87.636573","34.306997,-87.636573","34.306997,-87.109911","33.984882,-87.109911","33.984882,-87.636573","34.306997","33.984882","-87.109911","-87.636573"
"02","013","01419964","02013","Aleutians East","Aleutians East Borough","POLYGON((-166.225647 53.91608,-166.225647 56.945108,-158.890818 56.945108,-158.890818 53.91608,-166.225647 53.91608))","53.91608,-166.225647","56.945108,-166.225647","56.945108,-158.890818","53.91608,-158.890818","53.91608,-166.225647","56.945108","53.91608","-158.890818","-166.225647"
"02","016","01419965","02016","Aleutians West","Aleutians West Census Area","POLYGON((-179.231086 51.175092,-179.231086 57.305269,179.859681 57.305269,179.859681 51.175092,-179.231086 51.175092))","51.175092,-179.231086","57.305269,-179.231086","57.305269,179.859681","51.175092,179.859681","51.175092,-179.231086","57.305269","51.175092","179.859681","-179.231086"
"02","020","01416061","02020","Anchorage","Anchorage Municipality","POLYGON((-150.420615 60.733787,-150.420615 61.483938,-148.460007 61.483938,-148.460007 60.733787,-150.420615 60.733787))","60.733787,-150.420615","61.483938,-150.420615","61.483938,-148.460007","60.733787,-148.460007","60.733787,-150.420615","61.483938","60.733787","-148.460007","-150.420615"
"02","050","01419966","02050","Bethel","Bethel Census Area","POLYGON((-173.23683 58.496019,-173.23683 62.295331,-153.001051 62.295331,-153.001051 58.496019,-173.23683 58.496019))","58.496019,-173.23683","62.295331,-173.23683","62.295331,-153.001051","58.496019,-153.001051","58.496019,-173.23683","62.295331","58.496019","-153.001051","-173.23683"
"02","060","01419967","02060","Bristol Bay","Bristol Bay Borough","POLYGON((-158.001499 58.60961,-158.001499 58.894948,-156.317217 58.894948,-156.317217 58.60961,-158.001499 58.60961))","58.60961,-158.001499","58.894948,-158.001499","58.894948,-156.317217","58.60961,-156.317217","58.60961,-158.001499","58.894948","58.60961","-156.317217","-158.001499"
"02","068","01419988","02068","Denali","Denali Borough","POLYGON((-153.001339 62.722004,-153.001339 64.365138,-146.972014 64.365138,-146.972014 62.722004,-153.001339 62.722004))","62.722004,-153.001339","64.365138,-153.001339","64.365138,-146.972014","62.722004,-146.972014","62.722004,-153.001339","64.365138","62.722004","-146.972014","-153.001339"
"02","070","01419968","02070","Dillingham","Dillingham Census Area","POLYGON((-161.368728 58.33414,-161.368728 61.00057,-155.953624 61.00057,-155.953624 58.33414,-161.368728 58.33414))","58.33414,-161.368728","61.00057,-161.368728","61.00057,-155.953624","58.33414,-155.953624","58.33414,-161.368728","61.00057","58.33414","-155.953624","-161.368728"
"02","090","01419969","02090","Fairbanks North Star","Fairbanks North Star Borough","POLYGON((-148.667164 64.257854,-148.667164 65.454475,-143.884795 65.454475,-143.884795 64.257854,-148.667164 64.257854))","64.257854,-148.667164","65.454475,-148.667164","65.454475,-143.884795","64.257854,-143.884795","64.257854,-148.667164","65.454475","64.257854","-143.884795","-148.667164"
"02","100","01419970","02100","Haines","Haines Borough","POLYGON((-136.494084 58.12273,-136.494084 59.729629,-134.327982 59.729629,-134.327982 58.12273,-136.494084 58.12273))","58.12273,-136.494084","59.729629,-136.494084","59.729629,-134.327982","58.12273,-134.327982","58.12273,-136.494084","59.729629","58.12273","-134.327982","-136.494084"
"02","105","02371430","02105","Hoonah-Angoon","Hoonah-Angoon Census Area","POLYGON((-138.028575 56.86397,-138.028575 59.41062,-132.367984 59.41062,-132.367984 56.86397,-138.028575 56.86397))","56.86397,-138.028575","59.41062,-138.028575","59.41062,-132.367984","56.86397,-132.367984","56.86397,-138.028575","59.41062","56.86397","-132.367984","-138.028575"
"02","110","01419971","02110","Juneau","Juneau City and Borough","POLYGON((-135.219128 57.795049,-135.219128 58.974972,-133.176444 58.974972,-133.176444 57.795049,-135.219128 57.795049))","57.795049,-135.219128","58.974972,-135.219128","58.974972,-133.176444","57.795049,-133.176444","57.795049,-135.219128","58.974972","57.795049","-133.176444","-135.219128"
"02","122","01419972","02122","Kenai Peninsula","Kenai Peninsula Borough","POLYGON((-154.748768 58.645009,-154.748768 61.428157,-148.562368 61.428157,-148.562368 58.645009,-154.748768 58.645009))","58.645009,-154.748768","61.428157,-154.748768","61.428157,-148.562368","58.645009,-148.562368","58.645009,-154.748768","61.428157","58.645009","-148.562368","-154.748768"
"02","130","01419973","02130","Ketchikan Gateway","Ketchikan Gateway Borough","POLYGON((-132.268057 54.687043,-132.268057 56.407375,-129.979511 56.407375,-129.979511 54.687043,-132.268057 54.687043))","54.687043,-132.268057","56.407375,-132.268057","56.407375,-129.979511","54.687043,-129.979511","54.687043,-132.268057","56.407375","54.687043","-129.979511","-132.268057"
"02","150","01419974","02150","Kodiak Island","Kodiak Island Borough","POLYGON((-156.903153 55.699912,-156.903153 59.017887,-151.690505 59.017887,-151.690505 55.699912,-156.903153 55.699912))","55.699912,-156.903153","59.017887,-156.903153","59.017887,-151.690505","55.699912,-151.690505","55.699912,-156.903153","59.017887","55.699912","-151.690505","-156.903153"
"02","164","01419975","02164","Lake and Peninsula","Lake and Peninsula Borough","POLYGON((-159.903652 55.628871,-159.903652 60.908538,-153.393194 60.908538,-153.393194 55.628871,-159.903652 55.628871))","55.628871,-159.903652","60.908538,-159.903652","60.908538,-153.393194","55.628871,-153.393194","55.628871,-159.903652","60.908538","55.628871","-153.393194","-159.903652"
"02","170","01419976","02170","Matanuska-Susitna","Matanuska-Susitna Borough","POLYGON((-153.005115 61.07796,-153.005115 63.482913,-146.42522 63.482913,-146.42522 61.07796,-153.005115 61.07796))","61.07796,-153.005115","63.482913,-153.005115","63.482913,-146.42522","61.07796,-146.42522","61.07796,-153.005115","63.482913","61.07796","-146.42522","-153.005115"
"02","180","01419977","02180","Nome","Nome Census Area","POLYGON((-171.965319 62.884908,-171.965319 66.626301,-159.37937 66.626301,-159.37937 62.884908,-171.965319 62.884908))","62.884908,-171.965319","66.626301,-171.965319","66.626301,-159.37937","62.884908,-159.37937","62.884908,-171.965319","66.626301","62.884908","-159.37937","-171.965319"
